gift_id,period_start,period_end,gift,recipient_first_name,recipient_last_name,recipient_title,value,department,lobbyist_id,lobbyist_firstname,lobbyist_lastname,created_date
6781,2019-07-01T00:00:00.000,2019-09-30T00:00:00.000,NA,Lewis W,"Powell, III",Attorney,0,PLANNING AND DEVELOPMENT,57435,Lewis,Powell,2019-10-15T00:00:00.000
6761,2019-07-01T00:00:00.000,2019-09-30T00:00:00.000,N/A,N/A,N/A,N/A,0,FIRE DEPARTMENT,56381,Morgan,Bassey,2019-10-06T00:00:00.000
6742,2019-07-01T00:00:00.000,2019-09-30T00:00:00.000,None,None,None,None,0,BUILDINGS,56759,John,Suzuki,2019-10-01T00:00:00.000
6741,2019-07-01T00:00:00.000,2019-09-30T00:00:00.000,None,Dan,Casey,Deputy Director,0,EMERGENCY MANAGEMENT & COMMUNICATIONS,56146,Ken,Lukowski,2019-09-30T00:00:00.000
6724,2019-04-01T00:00:00.000,2019-06-30T00:00:00.000,none,james,weiss,mr,0,CITY COUNCIL / ALDERMEN,56981,PAUL,MORRIS,2019-07-17T00:00:00.000
6723,2019-04-01T00:00:00.000,2019-06-30T00:00:00.000,0,Rodrick,Sawyer,Alderman,250,CITY COUNCIL / ALDERMEN,56820,Pamela,Louik,2019-07-17T00:00:00.000
6722,2019-04-01T00:00:00.000,2019-06-30T00:00:00.000,NA,Lewis W,"Powell, III",Attorney,0,PLANNING AND DEVELOPMENT,57435,Lewis,Powell,2019-07-16T00:00:00.000
6721,2019-04-01T00:00:00.000,2019-06-30T00:00:00.000,Food & Beverage,David,Reifman,Commissioner,49.53,PLANNING AND DEVELOPMENT,56655,Amy,Waggoner,2019-07-15T00:00:00.000
6705,2019-04-01T00:00:00.000,2019-06-30T00:00:00.000,N/A,N/A,N/A,N/A,0,FINANCE,56381,Morgan,Bassey,2019-07-08T00:00:00.000
6704,2019-04-01T00:00:00.000,2019-06-30T00:00:00.000,Breakfast,Hopkins,Brian,Alderman,15,CITY COUNCIL / ALDERMEN,56685,Lawrence,Suffredin,2019-07-05T00:00:00.000
6703,2019-04-01T00:00:00.000,2019-06-30T00:00:00.000,0,jim,tumpane,sales,0,FIRE DEPARTMENT,57099,jim,Tumpane,2019-07-02T00:00:00.000
6702,2019-04-01T00:00:00.000,2019-06-30T00:00:00.000,None,None,None,None,0,BUILDINGS,56759,John,Suzuki,2019-07-01T00:00:00.000
6701,2019-04-01T00:00:00.000,2019-06-30T00:00:00.000,None,Dan,Casey,Deputy Director PSIT,0,EMERGENCY MANAGEMENT & COMMUNICATIONS,56146,Ken,Lukowski,2019-07-01T00:00:00.000
6681,2019-04-01T00:00:00.000,2019-06-30T00:00:00.000,Book,Lori,Lightfoot,"Mayor, Chicago",17.95,MAYORS OFFICE,56862,MICHAEL,SUTTON,2019-06-24T00:00:00.000
6672,2019-01-01T00:00:00.000,2019-03-31T00:00:00.000,Meal,Deb,Silverstein,Alderman,3.8,CITY COUNCIL / ALDERMEN,58500,David,Gross,2019-04-18T00:00:00.000
6671,2019-01-01T00:00:00.000,2019-03-31T00:00:00.000,Meal,George,Cardenas,Alderman,21.27,CITY COUNCIL / ALDERMEN,58500,David,Gross,2019-04-18T00:00:00.000
6670,2019-01-01T00:00:00.000,2019-03-31T00:00:00.000,Meal,Michelle,Harris,Alderman,20.99,CITY COUNCIL / ALDERMEN,58500,David,Gross,2019-04-18T00:00:00.000
6669,2019-01-01T00:00:00.000,2019-03-31T00:00:00.000,Meal,Roderick,Sawyer,Alderman,16.2,CITY COUNCIL / ALDERMEN,58500,David,Gross,2019-04-18T00:00:00.000
